sample,alpha,kappa,beta_0,beta_1
146,-1.387255847595614,1.6582381037712899,0.03172209775516787,0.2649090633227523
147,-0.6253518117384658,3.273037532144475,0.22050696124092867,0.5250286786907297
148,-3.062635204895242,2.924457039938891,0.06028125234248298,0.487227069065229
149,2.1397251176590553,3.931329791584711,0.2757336375489943,0.30206342341363607
150,-1.424179073722915,3.2890282633705263,0.27520031933005246,0.6962472466140175
151,0.42333208440640213,4.840430186084708,0.1894652023844786,0.37051438785988655
152,-1.2137476749959597,0.6199935875349848,0.035639841720158716,0.28721632983671974
153,1.69829496747021,1.184473008186888,-0.030033116570827315,-0.15077393945492054
154,1.9980781177478408,1.4132067813925253,0.019354116656587914,-0.13258323370284822
155,1.1938708979013068,2.493147020607677,0.20264914197608966,0.28311428518716875
156,-0.5507513777111991,3.186975144693787,0.11095405828443242,0.30792918017084353
157,-0.46965676456446404,3.2118333666306986,0.14101397500644913,0.262983819162181
158,-1.8094079835051147,2.317767614716517,0.22124499484567636,0.7094716251209229
159,0.783485018232328,1.8847476829953715,-0.16250545333201014,-0.26586792975345
160,0.37804948420530526,3.327492045270348,0.2382752428544874,0.45302764987007
161,3.7944537209392557,2.4925165968218015,0.45007826388431427,0.39166227415194155
162,2.8161173202602945,3.6068698177085627,0.315700335623757,0.285466242947467
163,1.2461052009444973,3.7330093783862424,0.5284923173789604,0.8685561745268985
164,0.604169905977128,3.3405632692185088,0.6228982704133271,1.0912572176812783
165,0.604169905977128,3.3405632692185088,0.6228982704133271,1.0912572176812783
166,0.9684488389223813,0.9428883794777254,-0.01176319406944586,-0.07287485218224202
167,0.10085460793629109,1.29428060371317,-0.1767956505558167,-0.18654292848802168
168,-0.8957059421229595,3.5747846914647936,0.20056019643232542,0.43003438854141013
169,1.7987446184732327,4.1237288372844745,0.3443760395269649,0.5301331219599146
170,0.4296915844964009,3.943282478903733,0.33348003378057334,0.6813270359354829
171,-0.14088846741047098,4.614732457378236,0.3669708004085611,0.7515083211631753
172,-0.4008565458134267,3.618607265460043,0.3752380799952638,0.7973492263565068
