sample,alpha,kappa,beta_0
901,0.12219754235697348,3.0036848664596745,0.006565636201466966
902,-0.5522080085832072,2.5335373383880135,-0.051160747042633986
903,-0.14083063087556422,2.846929610892071,-0.10479809371328892
904,-2.568845360169182,1.8726544530171767,-0.14601214909072543
905,3.1152061018965793,0.8521273395066927,0.2443011196240497
906,-4.425188507129314,0.48070088515955517,-0.35146278506576445
907,-4.247166910972152,0.3890845226372206,-0.3224713037850117
908,2.1598129435142,0.42321704927093,0.06686339205501088
909,4.7464388532594874,5.5524758961014875,0.24775419396591314
910,4.525829861456359,6.1054482275274555,0.29890724322379036
911,4.2862305892742745,1.2885437654595566,0.3011586003665775
912,4.594590178807744,1.0871790909425298,0.34910072309190704
913,3.003510717575832,1.4782649058639894,0.16322366541947264
914,3.805716158621542,1.5375240814345932,0.2308154980782499
915,2.925832399222395,4.0797623563590495,0.18357617032683504
916,2.934447568418233,4.06514748206558,0.17572848941438013
917,1.1972968552184413,1.33109934285324,0.05155316297540521
918,1.103030724715013,3.1164035709027953,0.0057745942461783295
919,0.5630459596821762,2.0672194222516556,-0.06134999286840294
920,0.17639208755676355,1.753551319540304,-0.04943872498700683
921,-0.20483300476605634,1.6684619174946391,-0.052105929877204034
922,-1.393808481709755,1.9217475940329363,-0.13144548736603526
923,-2.069607656638387,2.309641591560213,-0.19533816046604233
924,-2.8647946869483496,2.4601201642122303,-0.21430208652455604
925,4.391268300823994,2.6240850961458118,0.2926318431972223
926,3.7589270274156124,2.5460966268312286,0.25117440277729697
927,3.347480429438327,3.23359900439586,0.19537340308144424
928,3.6858857226590294,3.2722992700346674,0.2589271104950426
929,1.279525765752299,1.2843133185933993,0.09892407436880153
930,1.0515895907481487,1.2654030756525856,0.09641809356506978
931,1.6433336732722468,4.1610117510175195,0.11339384385622472
932,1.496583653850699,1.285592815417831,0.12140738871260617
933,1.8466011658625907,3.3283246985223256,0.07489353740547124
934,0.7681494235698513,2.8596945322724285,0.057662055158204134
935,1.4611991709575876,1.5297990817979532,0.06892770809184869
936,-1.1800050427872935,2.895663395888883,-0.13706271660088928
937,0.1720870364227327,4.550467429786476,-0.0209419357525741
938,0.6245166194240666,5.229666921694924,0.007545379607537098
939,-0.9075743219344696,1.2134629002210457,-0.07837650444922793
940,0.1365316082001174,2.021644216632295,-0.007805555023554904
941,-0.885201025365876,4.02073536527955,-0.1045567552812189
942,0.9381397136867212,1.3724516684776809,0.041694823074762494
943,1.6260804087491183,1.4081440056457497,0.0004507001668843742
944,1.0110886027676083,1.3012911757694738,0.1565042236097352
945,1.236217850949517,1.245668683056676,0.1819045636675485
946,1.9730187332292215,1.2234833500169655,0.13529933653402365
947,3.063292663285716,1.4471004034776405,0.24314079872498123
948,-2.088528455005468,2.8075469136964903,-0.23729944108873152
949,-1.5025157641448794,2.9741139720332526,-0.12024441395529299
950,-0.7573978895967026,2.7042014239263064,-0.09614578880276697
951,-1.0878683661183153,2.435630775170488,-0.09519293517440498
952,-1.0857801469314678,3.6222220172508504,-0.09806949041672743
953,-0.1140247401620205,2.6861960463061583,-0.0033011237662297333
954,0.22063603437328244,3.4128673079875833,-0.047316216706966736
955,-0.6938414134657054,3.6494637153292433,-0.05064726513771515
956,-0.35518778112643773,3.4673937849893686,-0.09742869321085318
957,0.7208531431444983,4.061865510138752,-0.018819995090772146
958,-0.12101171471561062,2.9364549902632024,-0.06451462922394163
959,-0.2536500000767701,2.7385224164357567,-0.02330137373004908
960,1.1506925492974138,1.6183949712886851,0.07186592989885504
961,0.2626919445351282,1.4719101197299942,-0.008536422846925634
