sample,alpha,kappa,beta_0,beta_1,beta_2
31,0.8399597317813133,2.8377293933859855,2.694207383792783,-0.06166571500671166,0.047878829398323955
32,-0.6989197322517123,1.8951337605539458,1.8426855745079072,0.19514041582532857,0.33439366069524745
33,-0.5354683358724939,1.7033724659579765,1.7724611862468558,0.14575318985578356,0.3591683395062173
34,-0.8218195991601309,5.9938745654481025,0.39163609602444266,0.28923750043366747,0.6426072403696051
35,-1.7980510657523299,4.065791397368322,1.1742979524307153,-0.006040681093192761,0.28145907547535104
36,-1.907649538236606,4.188377761550358,1.1830140440926606,-0.026036444014322695,0.24357269392049205
37,-1.7308737986363085,5.676407777512293,0.620098738127061,0.5024124705367101,1.2230683069432688
38,-1.8982605193483104,10.23850663900647,1.924064535824402,0.5145934892632685,1.2909738469240652
39,-1.3947585130808597,10.994322087827332,2.1009315224156926,0.6088730594586746,1.4569241268499493
40,-1.9981115862483272,10.194601292603101,2.5229723349004334,0.5728001689764259,1.3984846671342108
41,-1.9140658237252233,9.556880651570141,2.5489813138902853,0.5393437114254471,1.4299392959067785
42,1.3284831505959538,0.6493820168052543,-0.8392839582329948,-0.21228738788035348,-0.5152725874823895
43,2.045920644626759,3.6228496378271218,0.6754786640110308,0.25107962043278237,0.28120709628773066
44,0.22509063082540548,4.614152655455029,0.45654467039956276,0.6785405583471866,1.285907496221948
45,0.8646947642401358,5.931454430692997,1.5391885658740179,0.8200529140076129,1.5278382897744662
46,1.0663824236928454,6.581417994861766,2.0123656775495093,0.8277128905442744,1.530721258951484
47,2.3324103319662046,9.741286745427992,1.2641243428084494,0.5983501092839438,0.9332127078942044
48,-1.3968850264539738,1.3376339838984062,1.2018979938217444,-0.5034550818914575,-0.6429251461846397
49,1.5311445127231513,4.10945093507905,2.6841123237384488,-0.19300757550262404,-0.4600487255299083
50,0.6053307270290788,3.022603989022553,1.867520137269343,-0.1700013310971727,-0.27712594913955596
51,0.306962417861928,5.33883610984671,0.4235786922040037,0.6047372471840972,1.1562412330039464
52,-2.4197541864403567,3.2009662770693645,0.48878162414372023,0.3851750355439807,0.9986352143709196
53,0.7585293340961818,2.6334070576803663,0.434753946339128,0.31778515738403695,0.5660655802109962
54,1.3635056642849852,2.005276196277888,0.7778189223389111,0.18205964873004424,0.20121166724325584
55,2.748654723609531,3.610558570820908,-0.15798897694147773,0.25863066964080184,0.19008507597251
56,-0.5351098859405131,1.4880821532316035,0.47225441993170725,0.36451904125096063,0.8033581475579722
57,-0.5670467967591875,2.5734860989070647,0.7662625702226737,0.28936036834591683,0.5946251896065489
58,-1.6916365403250568,2.09406627526965,0.39612761093807985,0.18415824459948116,0.5866254202728175
59,-0.25865692946803365,3.379119587533133,0.9000496695415526,0.4285064697350939,0.8514212748320075
60,-0.17401389244553475,3.436128903979121,0.39829440504621083,0.4419055158854116,0.819333212574326
61,0.7087244570317465,6.898038689942478,1.0790154757970813,0.351419171797813,0.5803641695356069
62,0.8508095744819844,7.296505873427876,1.0704261220443059,0.3482999135095306,0.638892706062609
63,0.7782455605844684,7.505551945523303,1.0825327262997395,0.38022373826145556,0.6178755657686756
64,0.4331868441291085,3.1662020903605366,0.8455730040110122,0.3166291877683644,0.5123746647353616
65,0.6197140138822891,3.2750043616354105,0.6593706240643975,0.3253321334320649,0.5387368849854964
66,-1.2403593321647224,5.142249558212832,0.718660220143069,0.27672983376980426,0.6496018145503059
67,2.5879779253463338,5.500763232040025,1.3441184727687883,0.40258810327970185,0.4933670716120336
68,-2.4076270006033367,3.1841403952874057,0.07220650153929813,0.05073452942043599,0.3489224653645104
69,-2.315729947561339,3.172176942744395,-0.08504149905638095,0.027230342793828074,0.3919694746989928
70,-1.121562413964586,3.7004295800426874,0.1656818094953841,-0.0036800302991410096,0.14610466039448794
71,-0.9894730194186678,4.062267366435543,0.15593880506287788,0.006293606838295317,0.18208296862813533
72,-1.0360368429488127,1.8914622395936613,0.8693335845256924,0.08703966035564432,0.3269205298249055
73,-1.2983072839373213,1.5742788842859987,0.9693161259594345,0.04957959284080685,0.3231546097416774
74,1.8518440584409905,7.830609890870733,0.5558155434128645,0.3743679051944147,0.5905962786320167
75,-0.3272752972437242,3.0818475570151427,0.8595200926845276,0.04443844864056263,0.1620862880481167
76,-0.57450149036649,7.745221692739943,1.4087086722362239,0.3376370429205413,0.6829710532608976
77,0.07834277985489539,3.2459523089841706,0.38646184213781937,0.5437909985335517,1.0845273250324992
78,-0.5653069582548463,3.7741137683567776,0.6803124403512923,0.623574781058367,1.3638187684769878
79,0.37301244900092695,3.22796543449056,-0.2418728990659692,0.3815244288608729,0.755508573458964
80,1.3242053989002485,4.229862701575711,0.21125933196921232,0.3909959075870832,0.5161304535918315
81,0.37524895902400396,1.8827310782045559,0.5316458672808346,0.3878552757927871,0.6686863037184345
82,2.1973175451466513,6.856691249563723,1.228670713751277,0.37148050066480187,0.49889791939138844
83,2.1477860057162794,7.557397353889799,0.8486012174932506,0.5183085101938713,0.7827241491569462
84,2.021179971758593,7.838536666721915,0.6497254779411594,0.5016110643394099,0.7079734982941019
85,1.12419805305547,3.3170132378431663,1.553436328147741,0.45533251858583035,0.7632971330309009
86,-0.3957409406778183,6.682638196614138,0.8984989630117375,0.4324415949368951,0.96947621980949
87,2.2282197766099987,8.877457718264637,1.4842123726157808,0.2625105972478248,0.27107515277708266
88,1.0978580000619043,3.475120071568431,1.2215493302042664,0.6180555307823861,1.102623917772487
89,1.4213280925493297,8.412119312312043,1.6608959126075273,0.2930839315261082,0.4734168014167237
90,0.13617755776011248,2.590230340704663,-0.13673323147775895,0.3990878060354179,0.763222382715931
91,-0.542851250315815,3.168588209234872,0.6361368162000804,0.40441762368834744,0.8529284128124901
92,-0.6575545331343647,4.530483826344944,-0.39921420029012683,0.0738803598699138,0.21250944838870953
93,-0.3793319676579169,5.544312247855725,1.4583346196056426,0.20861691687627454,0.4533339038223478
94,-1.115240299448047,6.980644142068769,1.093754431144035,0.39564984718999824,0.9051229423014167
95,-1.2280178272138178,4.753151671318102,1.3333169603785215,0.08856037467354236,0.3897640487352152
96,-0.3252639438629903,4.2424194360352425,1.5118209691624631,0.1613191556801656,0.3933328530778624
97,3.0734075038328466,8.006665504920491,1.2108827345359487,0.44939361853296683,0.5307992123158223
98,1.9026703359665007,7.6748559520447435,2.2371894529013368,0.5596092799076761,0.9312635794010999
99,2.1624344437624385,5.688099866605976,1.511832395478066,0.6904915270585951,1.0916356707040367
100,-2.8787002889102236,1.4746802033236541,0.9506508401235978,-0.10117279755932321,0.207341708042848
101,-2.2862033663771992,3.1162134382388293,1.8503760282552373,-0.3096677862214656,-0.2589283071025308
102,-0.6472315688356434,4.859174321710364,0.9934095921393193,0.5337286980741106,1.1375796483348677
103,-0.6407627186941383,1.9657716393983415,1.5917258009009307,-0.11742518053397655,-0.10173706689223938
104,-0.48761373103051386,6.813189091825717,0.9720568584428636,0.41546217497439225,0.8059825903823669
105,-0.7160544115709392,6.026357735261908,0.9399944511629537,0.5718518250406325,1.1637203215139211
106,-1.4529036084536997,3.2201132353513975,0.43880219909355217,-0.2002108185163884,-0.07515530059442237
107,-2.100999718226742,3.2450664956065505,1.1584057944616741,-0.08063212988643019,0.10375933199871105
108,1.4857963916111898,5.652101795357758,0.9171154794855753,0.5849067236101846,0.9893164615790311
109,-3.5659892676548033,1.7425222085984213,0.6922008608755065,0.010639165434838267,0.46139468241435594
110,-2.023597984090546,11.752357726648908,1.654270552406062,-0.005406888708266432,0.30345577783613087
111,-2.0577375346906996,13.397211691160686,1.6049987522318228,-0.0015010954575373652,0.32391999810489186
112,-2.206244170282566,4.289818002460042,2.2501786160861745,0.23834553199910516,0.7395704370431607
113,-2.375074972704268,4.182315188132806,2.6760803067360928,0.22173086917582233,0.779391966825323
114,3.528778345472685,3.934779667644743,0.509050798880977,0.14852705781149286,-0.10226758795658028
115,2.9535927137488387,3.1130947640195394,0.6435724143407999,0.15123002430079832,-0.0024651378987816065
116,-1.8872548231366881,4.787724193354242,0.3482661446364137,0.3949193908146085,0.9886400567999865
117,0.6496764794174468,5.429270480914059,2.385586957751587,0.006649558196827453,0.07128376288768686
118,-1.7499755438873588,3.7865983588544037,-0.4207081354184354,0.40078021687185733,0.9654342213396679
119,-1.8764674649164244,4.8942321703647105,-0.08788721366386758,0.37002683668305153,0.9701562369834932
120,0.2516880502604251,5.242351395105364,1.0584509559867874,0.40419258151003046,0.7513136466133851
121,-2.41022280573271,2.633418714712142,0.42076741921434835,0.2185745822111172,0.7641233378465982
122,-1.6084385689067286,5.837907101041064,-0.32110868182949864,0.28447940441252495,0.7190612946243168
123,-0.47821804083164515,1.1554325992561372,1.1027785564808172,0.030710341706526704,0.165733889494134
124,-0.959921291644793,1.07272273790743,0.6331554952123815,-0.0881312409737621,-0.032279153234821195
125,-1.6070921321085327,1.4861274150157273,0.7878762420818943,-0.009410525298894046,0.24497931484948557
126,0.31714454461837793,4.886751298885824,0.7363832489975636,0.13308861785797652,0.3027027197389373
127,-1.349137137045751,2.6549720055963686,0.8799525168696198,0.12603338200301437,0.46275969728895233
128,1.2039517650417495,6.16096476509686,1.526563009430534,0.3800344336397531,0.6522101782050577
