underdrain_col,u_mps,dp_pa,medium,mean_diameter_m,equiv_diameter_m,porosity,sphericity_recorded
Pumice stone 5,3e-05,0.03283728403400325,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.1e-05,0.0018009206491106,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.1e-05,0.19111178631621187,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.1e-05,0.016569328446251565,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.1e-05,0.014597801758802754,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.1e-05,0.03393984384620313,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.2e-05,0.001859730108092516,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.2e-05,0.19729489906513684,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.2e-05,0.017108489365671557,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.2e-05,0.015071251291538152,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.2e-05,0.035042918734385795,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.3e-05,0.0019185842698553376,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.3e-05,0.2034791503400708,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.3e-05,0.0176479419384298,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.3e-05,0.015544860368136444,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.3e-05,0.03614650869855123,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.4e-05,0.001977483134399064,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.4e-05,0.20966454014101374,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.4e-05,0.018187686164526276,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.4e-05,0.016018628988597624,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.4e-05,0.03725061373869945,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.5e-05,0.0020364267017236944,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.5e-05,0.2158510684679657,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.5e-05,0.018727722043961,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.5e-05,0.0164925571529217,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.5e-05,0.03835523385483045,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.6e-05,0.0020954149718292302,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.6e-05,0.2220387353209267,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.6e-05,0.019268049576733972,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.6e-05,0.01696664486110867,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.6e-05,0.039460369046944235,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.7e-05,0.002154447944715671,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.7e-05,0.22822754069989667,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.7e-05,0.019808668762845177,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.7e-05,0.01744089211315853,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
